time,flux
0,1.16273148148148e-07
3602.88,1.16273148148148e-07
10800,9.94444444444445e-08
17997.12,9.13773148148148e-08
25202.88,8.79282407407407e-08
32400,8.63657407407408e-08
39597.12,8.55208333333333e-08
46802.88,8.50810185185185e-08
54000,8.49189814814815e-08
61197.12,8.46527777777778e-08
68402.88,8.43981481481482e-08
75600,8.46643518518519e-08
82797.12,8.39814814814815e-08
90002.88,8.30555555555556e-08
97200,8.2037037037037e-08
104397.12,7.97800925925926e-08
111602.88,7.82060185185185e-08
118800,7.65856481481481e-08
125997.12,7.55555555555556e-08
133202.88,7.46412037037037e-08
140400,7.4212962962963e-08
147597.12,7.52777777777778e-08
154802.88,7.58217592592593e-08
162000,7.60185185185185e-08
169197.12,7.58912037037037e-08
176402.88,7.52083333333333e-08
183600,0.0000000753125
190797.12,7.56944444444445e-08
198002.88,7.54282407407407e-08
205200,7.44444444444444e-08
212397.12,7.29166666666667e-08
219602.88,7.02893518518518e-08
226800,6.60069444444445e-08
233997.12,5.99884259259259e-08
241202.88,5.33449074074074e-08
248400,4.71296296296296e-08
255597.12,4.09490740740741e-08
262949.76,3.56828703703704e-08
271054.08,3.09259259259259e-08
280203.84,2.75347222222222e-08
290399.04,2.44560185185185e-08
302097.6,2.09027777777778e-08
315748.8,1.80555555555556e-08
331352.64,1.59027777777778e-08
349496.64,1.34027777777778e-08
370353.6,1.19791666666667e-08
394053.12,1.03703703703704e-08
421200,9.15509259259259e-09
452252.16,7.90509259259259e-09
487200.96,7.16435185185185e-09
526348.8,6.2962962962963e-09
568797.12,5.46296296296296e-09
611997.12,4.59490740740741e-09
655197.12,4.29398148148148e-09
698397.12,3.93518518518519e-09
741597.12,3.64583333333333e-09
784797.12,3.25231481481482e-09
827997.12,2.89351851851852e-09
899398.08,2.63888888888889e-09
1018500.48,1.88657407407407e-09
1200450.24,1.16898148148148e-09
